Date,Close,LogReturn,Return_scaled,P_high_volatility,P_low_volatility,P_medium_volatility,State,Regime
1996-03-13,638.5499877929688,0.0022889867959392,0.1781798744404784,0.015306045547113688,0.11914469206945441,0.8655492623834319,2,Medium volatility
1996-03-14,640.8699951171875,0.003626658795488,0.2959505128401724,0.00795447068008057,0.2231963890478284,0.768849140272091,2,Medium volatility
1996-03-15,641.4299926757812,0.0008734268104584,0.0535518615648501,0.004251929754090831,0.37703431083057737,0.6187137594153318,2,Medium volatility
1996-03-18,652.6500244140625,0.0173409878109662,1.5033804986073154,0.012832734618469642,0.0604656070706361,0.9267016583108942,2,Medium volatility
1996-03-19,651.6900024414062,-0.0014720427591683,-0.1529467783522326,0.007256474585219579,0.13470281292721764,0.8580407124875628,2,Medium volatility
1996-03-20,649.97998046875,-0.0026274293466883,-0.2546687371407631,0.004795099116575269,0.22883653797754028,0.7663683629058845,2,Medium volatility
1996-03-21,649.1900024414062,-0.0012161274276625,-0.1304156107880813,0.0032512341064494157,0.36946603392708094,0.6272827319664697,2,Medium volatility
1996-03-22,650.6199951171875,0.0022003112076287,0.1703727433580317,0.002168528832535204,0.538744210018239,0.4590872611492257,1,Low volatility
1996-03-25,650.0399780273438,-0.0008918812606948,-0.1018684945328855,0.0013870412334437534,0.6866177747737123,0.31199518399284376,1,Low volatility
1996-03-26,652.969970703125,0.0044972758911203,0.372600940739454,0.0009521935845108999,0.7864796266620371,0.21256817975345207,1,Low volatility
1996-03-27,648.9099731445312,-0.0062371507290261,-0.5724739926789982,0.0009988604892641148,0.7882449215413728,0.21075621796936297,1,Low volatility
1996-03-28,648.9400024414062,4.6275451623500885e-05,-0.0192717780239417,0.0005398455431555925,0.8717313533766635,0.12772880108018084,1,Low volatility
1996-03-29,645.5,-0.0053150559828214,-0.4912913956281809,0.0004959246632218008,0.88198440369524,0.11751967164153813,1,Low volatility
1996-04-01,653.72998046875,0.0126691820136111,1.0920677467372863,0.0015771299078143819,0.7440799418667656,0.25434292822542004,1,Low volatility
1996-04-02,655.260009765625,0.0023377260408192,0.1824709502696598,0.0007705288655896767,0.8432800282963381,0.15594944283807233,1,Low volatility
1996-04-03,655.8800048828125,0.0009457344852137,0.0599179371199948,0.00039157852994783487,0.9060310763010155,0.09357734516903649,1,Low volatility
1996-04-04,655.8599853515625,-3.052362724442759e-05,-0.0260332834975071,0.000214501951361203,0.9404988662837572,0.059286631764881546,1,Low volatility
1996-04-08,644.239990234375,-0.0178760168701721,-1.5971771307828777,0.006322911832769329,0.297087600372096,0.6965894877951346,2,Medium volatility
1996-04-09,642.1900024414062,-0.003187098466121,-0.3039428413385157,0.0038239689913383795,0.41391587298468885,0.5822601580239728,2,Medium volatility
1996-04-10,633.5,-0.0136242141016094,-1.2228420721346325,0.008653833077709427,0.11071258020415695,0.8806335867181337,2,Medium volatility
1996-04-11,631.1799926757812,-0.0036689280136146,-0.3463638335004936,0.005704270175661661,0.18124824356103378,0.8130474862633046,2,Medium volatility
1996-04-12,636.7100219726562,0.0087232556457186,0.7446625027151086,0.005484538889974315,0.19959207909792007,0.7949233820121056,2,Medium volatility
1996-04-15,642.489990234375,0.0090369098529654,0.77227708703523,0.005467236571972378,0.20843880031768966,0.786093963110338,2,Medium volatility
1996-04-16,645.0,0.0038990795495088,0.3199348424255844,0.0037349919272376348,0.3384978747120873,0.657767133360675,2,Medium volatility
1996-04-17,641.6099853515625,-0.0052696971607666,-0.4872979372674963,0.0032360376244346487,0.39722506642869765,0.5995388959468677,2,Medium volatility
1996-04-18,643.6099853515625,0.0031123102037051,0.25066649550656,0.0021405585577333806,0.5588277192476787,0.43903172219458797,1,Low volatility
1996-04-19,645.0700073242188,0.0022659195543468,0.176149000078622,0.0013122006139538148,0.7095045230312665,0.28918327635477975,1,Low volatility
1996-04-22,647.8900146484375,0.0043621020725623,0.360700036099251,0.0008706553823035161,0.8048445343726578,0.1942848102450386,1,Low volatility
1996-04-23,651.5800170898438,0.0056792573424191,0.476664351009692,0.0006400981561865691,0.8571406083144698,0.1422192935293437,1,Low volatility
1996-04-24,650.1699829101562,-0.0021663679372325,-0.2140762028338571,0.0003865698044950668,0.904055846885759,0.095557583309746,1,Low volatility
1996-04-25,652.8699951171875,0.0041441799434833,0.3415138467555919,0.0002461929568360071,0.9342450613033609,0.06550874573980296,1,Low volatility
1996-04-26,653.4600219726562,0.0009033351264573,0.0561850343230736,0.00014009470810093764,0.9564509566568333,0.04340894863506568,1,Low volatility
1996-04-29,654.1599731445312,0.0010705728596089,0.0709088938375323,8.684627454417421e-05,0.9681048751036332,0.03180827862182252,1,Low volatility
1996-04-30,654.1699829101562,1.5301592047656243e-05,-0.0219987628282734,6.0556322665233e-05,0.9737639790534285,0.026175464623906283,1,Low volatility
1996-05-01,654.5800170898438,0.0006266043065572,0.0318212401078262,4.6823844920939e-05,0.9769410902286149,0.023012085926464223,1,Low volatility
1996-05-02,643.3800048828125,-0.0172582976495387,-1.542792209075392,0.002450985582506544,0.5126603623315272,0.48488865208596615,1,Low volatility
1996-05-03,641.6300048828125,-0.0027237158754926,-0.2631459467784006,0.0016996686876190796,0.6374008846158948,0.3608994466964861,1,Low volatility
1996-05-06,640.8099975585938,-0.0012788238582865,-0.1359354980717062,0.001049179416832469,0.7608007215257494,0.23815009905741813,1,Low volatility
1996-05-07,638.260009765625,-0.0039872581746474,-0.3743900957675932,0.0008029096070817062,0.8162343336080017,0.18296275678491647,1,Low volatility
1996-05-08,644.77001953125,0.0101479552062704,0.8700951774145448,0.0012929671753959683,0.7652176409879833,0.23348939183662082,1,Low volatility
1996-05-09,645.4400024414062,0.0010385642011261,0.0680908037937034,0.0006444205641038535,0.8588716112139164,0.14048396822197967,1,Low volatility
1996-05-10,652.0900268554688,0.0102503718455562,0.8791120911239655,0.0010464781586708672,0.8092966383990305,0.18965688344229867,1,Low volatility
1996-05-13,661.510009765625,0.0143424849673987,1.2393878350475225,0.004030684036782181,0.5241236721115653,0.4718456438516525,1,Low volatility
1996-05-14,665.5999755859375,0.0061637374658696,0.5193187038330849,0.0025368730382047543,0.620326812862077,0.37713631409971826,1,Low volatility
1996-05-15,665.4199829101562,-0.000270458268833,-0.0471574872811096,0.0012651378676982118,0.7560019080937753,0.24273295403852643,1,Low volatility
1996-05-16,664.8499755859375,-0.0008569799768283,-0.0987957334350132,0.0006805976002547153,0.847456302963933,0.1518630994358122,1,Low volatility
1996-05-17,668.9099731445312,0.0060880672007277,0.5126565808039405,0.0005194938980895565,0.8828214425294769,0.11665906357243351,1,Low volatility
1996-05-20,673.1500244140625,0.0063187419113432,0.5329655264505679,0.00040632748299811324,0.9057417308908359,0.093851941626166,1,Low volatility
1996-05-21,672.760009765625,-0.0005795553186311,-0.0743708526610106,0.00022231646480350633,0.9393535398465817,0.06042414368861493,1,Low volatility
1996-05-22,678.4199829101562,0.0083778716095581,0.7142543769223844,0.0002751993180197762,0.9288143085668282,0.07091049211515198,1,Low volatility
1996-05-23,676.0,-0.0035734639415894,-0.3379590341846415,0.00020371009882190954,0.9413924913428572,0.058403798558320834,1,Low volatility
1996-05-24,678.510009765625,0.003706155909616,0.3029495573630044,0.000134773179216632,0.9572954866707821,0.04256974015000131,1,Low volatility
1996-05-28,672.22998046875,-0.0092987171373302,-0.8420188665573858,0.00035591554153499095,0.9015379845894226,0.09810609986904262,1,Low volatility
1996-05-29,667.9299926757812,-0.0064171481542141,-0.588321234515444,0.0004348506389953688,0.8905698744845961,0.10899527487640859,1,Low volatility
1996-05-30,671.7000122070312,0.0056284637851211,0.4721924104505755,0.0003294575952947787,0.9171388121012363,0.0825317303034691,1,Low volatility
1996-05-31,669.1199951171875,-0.0038484215032532,-0.3621667080993915,0.00024926916797036303,0.9317462913357912,0.06800443949623841,1,Low volatility
