Date,Close,LogReturn,Return_scaled,P_high_volatility,P_low_volatility,P_medium_volatility,State,Regime,Split,Return_5,Return_20,Volatility_5,Volatility_20,Volatility_change,Drawdown_20,Days_in_medium,Target
2001-05-01,1266.43994140625,0.0134983417044942,1.165068202875662,0.1881216295990846,0.0214157724081331,0.7904625979927823,2,Medium volatility,train,0.04602754551675556,0.1000455988649509,0.11463976329328666,0.2935236057253212,-0.17888384243203453,0.0,4,0.0
2001-05-02,1267.4300537109375,0.0007815020952044,0.0454586724992008,0.0856644106579948,0.0780878190825804,0.8362477702594248,2,Medium volatility,train,0.030993878032280063,0.1358255759826067,0.11062914394947114,0.2557602088130273,-0.14513106486355615,0.0,5,0.0
2001-05-03,1248.5799560546875,-0.0149844001306274,-1.342594879275566,0.0878311767325018,0.0111568956930531,0.9010119275744448,2,Medium volatility,train,0.011324623997052263,0.12374650121337229,0.17561145846220108,0.2647854437576436,-0.08917398529544254,-0.01487269265949498,6,0.0
2001-05-04,1266.6099853515625,0.0143371582754374,1.2389188651408094,0.0759435557481146,0.0084834236640944,0.9155730205877908,2,Medium volatility,train,0.010763410341283362,0.09533074657141909,0.17360128227044908,0.2315011702747448,-0.05789988800429571,-0.0006470324393633708,7,0.0
2001-05-07,1263.510009765625,-0.002450458589422,-0.2390879676633729,0.0352738966769857,0.0469051984486485,0.9178209048743656,2,Medium volatility,train,0.011182143355086563,0.1130662363597704,0.17301014455282127,0.21495535301538532,-0.041945208462564054,-0.003092907520880428,8,0.0
2001-05-08,1261.199951171875,-0.0018299600937474,-0.1844583544350956,0.0165777417632408,0.1117597269981061,0.871662531238653,2,Medium volatility,train,-0.004146158443155037,0.10315165042666209,0.1483417296809038,0.21627525309429485,-0.06793352341339104,-0.004915539536735181,9,0.0
2001-05-09,1255.5400390625,-0.0044978199362537,-0.4193407149232068,0.0093299641387714,0.169108974299277,0.8215610615619514,2,Medium volatility,train,-0.009425480474613137,0.07194761189837069,0.14923764975799036,0.20367986139403133,-0.05444221163604096,-0.009381199864737622,10,0.0
2001-05-10,1255.1800537109375,-0.0002867586514847,-0.0485925972869238,0.0050669118806109,0.3016741663323862,0.6932589217870028,2,Medium volatility,train,0.005272161004529563,0.0737942749658565,0.1075867965240114,0.20312463540810602,-0.09553783888409462,-0.009665227650340946,11,0.0
2001-05-11,1245.6700439453125,-0.0076054583320406,-0.6929418353104712,0.004917712900106,0.2745335663051762,0.7205487207947177,2,Medium volatility,train,-0.016670455602948435,0.051197423081479294,0.040114661122739426,0.20232665535689082,-0.1622119942341514,-0.017168608004767938,12,0.0
2001-05-14,1248.9200439453125,0.002605639984349,0.2060584935361159,0.0030856979847197,0.4328290521901653,0.564085249825115,2,Medium volatility,train,-0.011614357029177435,0.05703595224843639,0.05559028130522253,0.20122579269222082,-0.1456355113869983,-0.014604363934269338,13,0.0
